,,,,,,,,,
,SANFELIPE GALAN,,,,,,,,
,Teléfono:,3057152970,,,,,,,
,Productos:,328,,,,,,,
,Costo total de inventario:,39494404,,,,,,,
,Generado:,02-septiembre-2026,,,,,,,
,,,,,,,,,
,Creado,Nombre,Categoría,Notas,Cant.,Costo unitario,Precio unitario,Costo inventario,Precio inventario
,25 oct. 2024,900,Caja Clásica,,39,0,50,0,1950
,14 abr. 2025,Acarreo,Embalaje,,10,100,20000,1000,200000
,17 jun. 2026,Alpaca,Caja Clásica,,1,1800,5000,1800,5000
,18 dic. 2025,Ancheta,Caja Clásica,,46,5300,7500,243800,345000
,29 ago. 2025,Angus larga,Caja Clásica,,6,600,1800,3600,10800
,21 may. 2025,Archivo bajita,Caja Clásica,,0,2000,4500,0,0
,24 oct. 2024,Archivo x300,Caja Clásica,Caja de archivo reforzada de 40cm x 30cm x 27cm,0,5000,7500,0,0
,10 sep. 2024,Archivo X300 sencilla,Caja Clásica,,0,2500,4000,0,0
,15 ago. 2025,Arriendo locales,Arriendo,,0,50000,50000,0,0
,21 oct. 2024,Arroba de periódico,,Arroba de periódico,8,60000,60000,480000,480000
,05 nov. 2024,Biomereux,Caja Clásica,Caja de cartón corrugado calibre 790 de 32cm x 38cm x 42cm de alto,69,1100,2500,75900,172500
,05 nov. 2024,Bolsa 70cm x 90cm,Bolsas y Lonas,Bolsa de 70cm x 90cm,146,500,909,73000,132714
,03 oct. 2024,Bolsa industrial,Bolsas y Lonas,Bolsa negra de 90cm x 118cm,7,714,3000,4998,21000
,17 sep. 2024,Cabuya 150m,Embalaje,Rollo de cabuya de 150m,9,3000,6000,27000,54000
,26 oct. 2024,Cabuya grande,Embalaje,,6,10000,15500,60000,93000
,01 oct. 2024,Caja  sin marca mediana,Verduleria,,6,1200,3000,7200,18000
,18 sep. 2024,Caja 50x41x33,Caja Clásica,,0,13000,25000,0,0
,06 jun. 2026,Caja Adin,Caja Clásica,,0,1000,2500,0,0
,04 mar. 2024,Caja amarilla,Caja Clásica,Caja doble corrugado de 36cm x 49cm x 44cm,0,2000,4000,0,0
,25 oct. 2024,Caja archivo x200,Caja Clásica,,45,2000,3800,90000,171000
,29 oct. 2024,Caja arcoiris,Caja Clásica,"Caja doble pared 73*49,5*43",0,4000,10000,0,0
,01 sep. 2025,Caja Asociated,Caja Clásica,,0,1500,3000,0,0
,09 nov. 2024,Caja Avinal,Caja Clásica,Caja de cartón corrugado C930 de 41cm x 26cm x 32cm de alto,238,800,2000,190400,476000
,15 abr. 2026,Caja bajita,,,800,1200,2500,960000,2000000
,17 feb. 2024,Caja baquette,,,0,100,1100,0,0
,28 may. 2025,Caja BAT,Caja Clásica,,0,1800,3000,0,0
,02 ago. 2024,Caja Bericap,Caja Clásica,,0,800,3000,0,0
,29 oct. 2024,Caja Besi,Caja Clásica,,20,2500,4500,50000,90000
,12 mar. 2024,Caja blancs,Caja Clásica,"Largo 30*20ancho*24,5",0,1200,2500,0,0
,15 abr. 2025,Caja buñuelo,Caja Clásica,,0,400,1800,0,0
,31 ene. 2026,Caja CDF,,,37,1300,3000,48100,111000
,04 jul. 2025,Caja chefrito,Caja Clásica,Caja calibre 540 de 52cm x 50cm x 25cm de alto,0,1000,2500,0,0
,18 nov. 2025,Caja china,Caja Clásica,,0,1500,3500,0,0
,29 oct. 2024,Caja china bajita,Caja Clásica,,0,1700,3500,0,0
,18 abr. 2026,Caja coco,Caja Clásica,,7,500,2000,3500,14000
,11 jul. 2025,Caja cristar,Caja Clásica,,7,600,2000,4200,14000
,11 feb. 2026,Caja Cuadrada,,,38,1200,2000,45600,76000
,29 ago. 2025,Caja cuadrada pequeña,Caja Clásica,,104,100,1500,10400,156000
,05 abr. 2025,Caja cubeta,,,84,500,1500,42000,126000
,12 dic. 2025,Caja de Arbolito,Caja Clásica,,0,2500,18000,0,0
,05 nov. 2024,Caja de botella,Micro,,0,100,2500,0,0
,06 ago. 2025,Caja de Carne,Caja Clásica,,0,500,0,0,0
,26 feb. 2026,Caja de Colombia,,,11,2500,3000,27500,33000
,08 feb. 2024,Caja de flores,Caja Clásica,Caja taba y base larga,0,1000,5000,0,0
,31 ago. 2024,Caja de huevo cuadrada,Caja Clásica,42x33x43,0,500,2500,0,0
,18 sep. 2024,Caja de huevo pequ,,,0,500,2000,0,0
,20 sep. 2024,Caja de jabon,Caja Clásica,Caja de cartón pequeña,0,500,1000,0,0
,04 feb. 2026,Caja de lavadora,,,1,5000,20000,5000,20000
,30 oct. 2024,Caja de leche,Caja Clásica,Caja de cartón entubada  para leche,0,700,1500,0,0
,09 feb. 2026,Caja de madera 25x21x5,Embalaje,,59,1000,3000,59000,177000
,11 nov. 2025,Caja de navidad,,,26,5300,7500,137800,195000
,04 oct. 2024,Caja de ventana,Micro,Caja de cartón microcorrugada con ventana de 20cm x 20cm x 9cm de alto.,69,1500,2500,103500,172500
,16 dic. 2024,Caja de vinagre,Caja Clásica,Caja de cartón calibre 540 de 23x35x27cm de alto,0,500,1800,0,0
,31 jul. 2024,Caja de vino,Caja Clásica,,50,1000,2500,50000,125000
,02 oct. 2024,Caja de zapato,Embalaje,Caja en cartón prensado para zapatos de 32cm x 23cm x 11cm,0,700,1500,0,0
,07 ago. 2024,Caja desayuno blanca,Micro,,0,2000,5000,0,0
,10 abr. 2024,Caja doble pared,Caja Clásica,,0,7000,10000,0,0
,20 ago. 2025,Caja doble pared 78x52x46,Caja Clásica,,14,2500,9000,35000,126000
,16 sep. 2024,Caja doble pared grande,Caja Clásica,,0,3500,25000,0,0
,17 sep. 2025,Caja doble pared mediana,Verduleria,,0,3000,10000,0,0
,17 sep. 2025,Caja doble pared pequeña,,,5,2400,5000,12000,25000
,15 dic. 2025,Caja doble pared pequeña 2,Caja Clásica,,3,2500,10000,7500,30000
,09 mar. 2026,Caja Ecolab,,,2,1000,2500,2000,5000
,10 feb. 2024,Caja Enka bajita,Caja Clásica,,0,2500,5000,0,0
,17 jun. 2026,Caja Evaco,Caja Clásica,,9,1500,3500,13500,31500
,26 mar. 2026,Caja exportación,Caja Clásica,,28,6000,25000,168000,700000
,17 sep. 2024,Caja festival ,Caja Clásica,,100,1000,2000,100000,200000
,11 jul. 2026,Caja Gelhada,Caja Clásica,,19,400,1200,7600,22800
,20 sep. 2024,Caja graficas,Micro,,150,800,1800,120000,270000
,26 sep. 2024,Caja grande,Caja Clásica,,404,2000,6000,808000,2424000
,18 dic. 2025,Caja grande TOPMARK,Caja Clásica,Caja de cartón doble corrugado de 100cm x 29cm x 66cm de alto,7,2500,10000,17500,70000
,28 may. 2026,Caja Grupo median,Caja Clásica,,4,1500,3000,6000,12000
,20 feb. 2026,Caja grupo Phoenix 284,,,0,3500,4500,0,0
,12 dic. 2025,Caja grupo Phoenix 55*35*55,Caja Clásica,55*35*55,10,4000,5500,40000,55000
,26 mar. 2024,Caja Hills,Caja Clásica,,26,1100,2500,28600,65000
,25 oct. 2024,Caja huevo grande,Caja Clásica,Caja reformada de huevo oro.,21,1500,3800,31500,79800
,25 jun. 2026,Caja ilasas,Caja Clásica,,57,1500,4000,85500,228000
,28 ago. 2026,Caja IML,Caja Clásica,,195,2600,4000,507000,780000
,05 abr. 2025,Caja imsua,Caja Clásica,,1,1800,4500,1800,4500
,10 nov. 2025,Caja Intecplast,Caja Clásica,Caja de cartón corrugado C540 de 60x39x54cm de alto,18,3000,5000,54000,90000
,06 may. 2025,Caja Isoplasticos,Caja Clásica,,0,4500,2200,0,0
,06 sep. 2025,Caja jeka pequeña,,,0,100,1200,0,0
,02 sep. 2026,Caja Kellog,Caja Clásica,,0,1800,4000,0,0
,21 may. 2024,Caja kellos,Caja Clásica,,0,1200,1500,0,0
,28 abr. 2025,Caja lamiempaques,Caja Clásica,,26,4000,6000,104000,156000
,09 ene. 2026,Caja Livva,Caja Clásica,,67,1100,2800,73700,187600
,29 oct. 2024,Caja Lonchera,,,0,1000,2500,0,0
,15 abr. 2025,Caja Maiz,Caja Clásica,,11,500,1500,5500,16500
,23 oct. 2024,Caja Merck gruesa,Caja Clásica, Caja de cartón doble corrugado de 37cm x 38cm x 47cm,0,2000,4500,0,0
,24 sep. 2024,Caja miel,Caja Clásica,,57,400,1100,22800,62700
,25 oct. 2024,Caja nueva cuadrada,Caja Clásica,Caja de cartón corrugado nueva calibre 720 de 43cm x 45cm x 36cm de alto,100,3100,4500,310000,450000
,16 sep. 2024,Caja nueva grande,Caja Clásica,Caja de cartón corrugado nueva calibre 620 de 68cm x 50cm x 50cm de alto,9,5000,10000,45000,90000
,13 nov. 2025,Caja nuthos,Caja Clásica,,0,700,2000,0,0
,16 nov. 2024,Caja nutresa,Caja Clásica,,182,800,2000,145600,364000
,21 nov. 2025,Caja oxígeno,Caja Clásica,,8,2000,4500,16000,36000
,17 sep. 2024,Caja pequeña ,Caja Clásica,,17,50,900,850,15300
,16 jul. 2025,Caja pequeña entubada,Caja Clásica,,97,600,1800,58200,174600
,22 abr. 2026,Caja pequeña sin marca39x26x20,,,0,600,1500,0,0
,17 sep. 2024,Caja pequeña Technomelt,,,146,700,1500,102200,219000
,02 abr. 2024,Caja Piaro,Caja Clásica,,37,600,2000,22200,74000
,12 mar. 2024,Caja placa,Caja Clásica,,0,0,0,0,0
,11 jul. 2024,Caja Placa,Caja Clásica,,22,2000,4000,44000,88000
,18 jun. 2026,Caja plastilina,Caja Clásica,,0,1000,1500,0,0
